id,title,original_title,imdb_id,release_date,runtime,budget,revenue,overview,tagline,homepage,poster_path,backdrop_path
45,Uncharted,Uncharted,tt1464335,2022-02-10,116,120000000,407141258,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",Fortune favors the bold.,https://www.unchartedmovie.com,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,/fwrqW8Lp5VQuppFrODd4iJ8LySE.jpg
46,Great White Shark,Great White Shark,tt2989326,2013-05-24,40,0,0,"Misrepresented, maligned and on the verge of extinction, the great white shark is an iconic predator: the creature we love to fear. Great White Shark will explore the great white's place in our imaginations, in our fears and in the reality of its role at the top of the oceanic food chain. The film will concentrate on key aggregation points around the world: Mexico, South Africa, Los Angeles and New Zealand. Key figures in the history of shark research, people whose lives have been changed by contact with the great white, will tell us of their experiences, culminating in a direct encounter between man and shark.",A breathtaking encounter with the predator we love to fear . . .,http://www.greatwhiteshark3d.com,/eiKKbx5pjA2s4jkkCXBRSAJEaMv.jpg,/a6dGItq9ad5inXDW18ULZY6KSrF.jpg
47,No Exit,No Exit,tt7550014,2022-02-25,96,0,0,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",Who will survive the dead of winter?,https://www.20thcenturystudios.com/movies/no-exit,/5cnLoWq9o5tuLe1Zq4BTX4LwZ2B.jpg,/33wnBK5NxvuKQv0Cxo3wMv0eR7F.jpg
48,Grateful Dead: View from the Vault,Grateful Dead: View from the Vault,tt0468574,2000-10-10,215,0,0,"View from the Vault, Volume One, sometimes known simply as View from the Vault, is the first release in a series of DVDs and companion soundtracks by the Grateful Dead known as ""View from the Vault"". The audio is taken from the soundboard and the video from the video screens at the concerts. The first volume was recorded and filmed at Three Rivers Stadium in Pittsburgh on July 8, 1990 with bonus material recorded two days earlier at Cardinal Stadium, Louisville. The set was certified Gold by the RIAA on February 2, 2001.","Three Rivers Stadium Pittsburgh, PA July 8, 1990",http://dead.net,/oAsbEWZ0oYblzbCYqbUtkwawo3I.jpg,/4ChjYIllKL4Qldr4A7VU3PiBat.jpg
49,Nina Forever,Nina Forever,tt2885628,2015-03-14,98,0,0,"Holly loves Rob and tries to help him through his grief – even if it means contending with his dead girlfriend Nina, who comes back, bloody and broken, every time they make love",A fu*ked up fairy tale,http://ninaforever.com/,/l6fIaMjMx4bCHLvgCcnNfWctfm2.jpg,/rVT4vFJgcvou2j3CQTOAlCqedSh.jpg
50,I'm Not Ashamed,I'm Not Ashamed,tt4950110,2016-10-21,113,1500000,2100000,"Based on the inspiring and powerful true story and journal entries of Rachel Joy Scott, the first student killed in the Columbine High School shooting in 1999.",Her faith would touch the world.,http://imnotashamedfilm.com/,/P4bxuNq5XT0Wc3MYpoLP52e0P6.jpg,/rsdFvneLY76JGXQ1rYovyeUtqyc.jpg
51,Sherlock Holmes,Sherlock Holmes,tt0988045,2009-12-23,129,90000000,524028679,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,Nothing escapes him.,https://www.warnerbros.com/movies/sherlock-holmes/,/momkKuWburNTqKBF6ez7rvhYVhE.jpg,/veXdzn7LL0bFIDGmE7tTkvRg0qV.jpg
52,One for the Money,One for the Money,tt1598828,2012-01-26,91,40000000,36893721,"An unemployed lingerie buyer convinces her bail bondsman cousin to give her a shot as a bounty hunter. Her first assignment is to track down a former cop on the run for murder – the same man who broke her heart years before. With the help of some friends and the best bounty hunter in the business, she slowly learns what it takes to be a true bounty hunter.",She's looking for a few not-so-good men,http://www.oneforthemoneyfilm.com/index2.html,/eeltLl5jLUl9d96tpKkCAWu4JWu.jpg,/5AOV7ga7jvkIhmJalE4rmEf833X.jpg
53,Trigger: The Ripple Effect of Gun Violence,Trigger: The Ripple Effect of Gun Violence,tt5136068,2013-05-03,55,0,0,"Documentary that frames gun violence as a Disaster and Public Health issue by taking an in depth look at how one shooting impacts individuals, families and communities, while also giving voice to the questions and insights that arise from these conversations. In the documentary, all those scarred by gun violence eventually arrived at the same question: ""Why...Why did this happen to us?"" After looking at these in depth experiences of gun violence ""Trigger turns its attention to the bigger question: ""What can we do to prevent gun violence?""","n the United States more than 30,000 people are killed every year by gun violence and more than 100,000 are wounded.",https://pda.pcusa.org/pda/resource/dvd-trigger/,/2c2MuK6nxI81A87eSMpCRojTR5X.jpg,/x57eDjByABP4ccLaTGeZYeiEpAi.jpg
54,Basketball County: In the Water,Basketball County: In the Water,tt7333982,2020-05-15,51,0,0,"This documentary film examines how NBA star Kevin Durant’s hometown of Prince George’s County, Maryland, has recently produced more elite basketball players than anywhere else in the world.",Where greatness lives.,https://www.sho.com/titles/3492196/basketball-county-in-the-water,/gWm78LvURmB567ooZLIsy0L9WB8.jpg,/5G4mYJ6AtPvmVy3E3N43dcjCixi.jpg
