id,title,vote_average,vote_count,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
31,Inside,5.032,201,2016-02-14,0,85,FALSE,/fiGboqfxF2BC7cAariOF3nQ9zXK.jpg,0,http://www.embankmentfilms.com/portfolio_page/inside,tt5170810,Inside,"Completely on her own, Sarah spends her time at home, waiting for the approaching birth of her child. But one night, a stranger breaks into her home, ready to snatch her still unborn baby from her.",9.864,/1PSctD5yezkDKl5j61kKOk05U0g.jpg,Some women would kill for a baby,"Horror, Thriller","Embankment Films, Grand Piano Productions, Nostromo Pictures, Natixis Coficiné","France, Spain, United Kingdom, United States of America",English
32,Into the Woods,8.3,3,2011-03-31,0,153,FALSE,/bkhUrbPoZc7ZGCXzQBKKiFzMSdV.jpg,0,http://www.digitaltheatre.com/production/details/into-the-woods/,tt2191715,Into the Woods,"Stephen Sondheim’s Into the Woods weaves together many famous fairy tales in an allegorical story of family, love, growing up and the hazy areas between right and wrong. This production was captured by Digital Theatre live at London’s Regent’s Park Open Air theatre and was directed by Timothy Sheader.  Into the Woods takes the stories of the Brothers Grimm and gives them a dark and humorous twist.  The popular tales of Red Ridinghood, Jack (of Beanstalk fame), Cinderella and Rapunzel are interwoven with that of the Baker and his Wife and their quest to have a child. However this re-telling goes beyond ""happily ever after"" as the familiar characters find themselves in unfamiliar circumstances and hopes and dreams are questioned and revisited.",1.475,/6fnoURevuXBfkqLOKaRD83ZNP5K.jpg,Once upon a time...,Music,Digital Theatre,United Kingdom,English
33,The Redeeming,5.4,5,2018-01-29,0,85,FALSE,/m5E2KkRmgbwoRpVCAlEwWSbrrW9.jpg,150000,http://www.theredeeming.co.uk/,tt4172510,The Redeeming,A disturbed single mother confronts a mysterious stranger and the echoes of her past to protect her home.,0.772,/6T75zEBrQAuVp4G4hGW7U7qs2OV.jpg,Bad memories always haunt you.,"Drama, Mystery, Thriller",Osmium Films,United Kingdom,English
34,"Why, Charlie Brown, Why?",7.3,20,1990-03-16,0,22,FALSE,/vZkoYNwlBYKTAzYc3xIb2726B12.jpg,0,http://www.snoopy.com,tt0123325,"Why, Charlie Brown, Why?","A new girl comes to the neighbourhood school and Linus is smitten with her. Unfortunately, she develops the symptoms of leukemia and must go to the hospital for cancer treatment. Linus and Charlie Brown help her through the traumas of chemotherapy as best they can while Snoopy plays at being the world's greatest doctor.",4.473,/3bWXHBekb1MgVU80So6rES9pGo7.jpg,A Peanuts look at a serious subject.,"Family, Animation, Comedy, Drama","Lee Mendelson Film Productions, Bill Melendez Productions, Charles M. Schulz Creative Associates, United Media Productions",United States of America,English
35,Kimjongilia,6,16,2009-01-18,0,75,FALSE,/824c3HzSA3UdN30F8ocfM1Jp7Cq.jpg,0,http://www.kimjongiliathemovie.com,tt1180311,Kimjongilia,"The first film to fully expose the humanitarian crisis of North Korea, this stylish, deeply moving documentary is centered around astonishing interviews with survivors of North Korea's vast and largely hidden prison camps, and interspersed with archival footage of North Korean propoganda films and original art performances.",1.758,/i191oqUO5cKcvnjmzcdYwTT1Vaa.jpg,The Flower Of Kim Jong Il,Documentary,"Green Garnet Productions, Saylors Brothers Entertainment","France, South Korea, United States of America","English, Korean"
36,Last Seen Alive,6.512,781,2022-05-12,5950199,95,FALSE,/nAHysRXM17o6TurhobGtL1MCDDH.jpg,0,https://www.lastseenalivemovie.com/,tt10242388,Last Seen Alive,"After Will Spann's wife suddenly vanishes at a gas station, his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands.",43.495,/qvqyDj34Uivokf4qIvK4bH0m0qF.jpg,He'll stop at nothing to get her back.,"Action, Thriller","Voltage Pictures, Perfection Hunter Productions, G-BASE, Marc Frydman Productions",United States of America,"English, Italian"
37,The Pink Panther 2,5.727,1038,2009-02-06,75871032,92,FALSE,/ia6qY2XV4uvrrhSFcqqKZphizXR.jpg,0,http://www.sonypictures.com/movies/thepinkpanther2/,tt0838232,The Pink Panther 2,"When legendary treasures from around the world are stolen, including the priceless Pink Panther Diamond, Chief Inspector Dreyfus is forced to assign Inspector Clouseau to a team of international detectives and experts charged with catching the thief and retrieving the stolen artifacts.",16.284,/1XI20rOfPL6i9DrbO6GRWRxlQ60.jpg,Inspect the unexpected.,"Comedy, Mystery","Metro-Goldwyn-Mayer, Columbia Pictures, Robert Simonds Productions",United States of America,English
38,John Mulaney: Baby J,7.12,54,2023-04-25,0,80,FALSE,/v3IgA4DxD6nMgDJahdLMA046eoh.jpg,0,https://www.netflix.com/title/81619082,tt27141610,John Mulaney: Baby J,"A chaotic intervention. An action-packed stay in rehab. After a weird couple of years, John Mulaney comes out swinging in his return to the stage.",4.74,/68IvnpczS3snky0W6K7SpxIGZLp.jpg,A wide-ranging conversation,Comedy,Multiple Camera Productions,United States of America,English
39,What Doesn't Kill Us,0,0,2019-11-14,0,92,FALSE,/gyf8M2AUwYqdt0XrKgFzBSwWfJl.jpg,0,http://wdkumovie.com/,tt7467702,What Doesn't Kill Us,What Doesn't Kill Us is a mockumentary about rehabilitated zombies facing the adversities of living in a time when they aren't yet treated equally to humans.,0.731,/nRjnMbMgfkDeWwxCHR5az1XybEE.jpg,Being dead was way easier.,Comedy,Double Tap Entertainment,United States of America,English
40,The Blacklight,7,2,2021-04-24,0,120,FALSE,/faVbvMDR8dfDHRwwrxCT7QaHkWk.jpg,0,https://www.dashfordmedia.com/theblacklight,tt7317866,The Blacklight,"Despite trying to leave behind his life of crime, Danny reluctantly teams with naïve rich kid Liam and wildcard drug dealer Kit Viper. A botched robbery leaves them in possession of a mysterious supernatural artifact with immense potential.",2.147,/m7UM0BSUcgPelxqVPTXPdhk28zI.jpg,Watch your eyes,"Thriller, Horror, Crime, Mystery, Fantasy",Dashford Media,United States of America,English
41,Batman: Return of the Caped Crusaders,6.461,244,2016-10-08,0,78,FALSE,/oBwzYKdcbT7K8CEkKDbTspPAJkG.jpg,3500000,https://www.warnerbros.co.uk/movies/batman-return-of-the-caped-crusaders,tt5973626,Batman: Return of the Caped Crusaders,"Adam West and Burt Ward returns to their iconic roles of Batman and Robin. The film sees the superheroes going up against classic villains like The Joker, The Riddler, The Penguin and Catwoman, both in Gotham City… and in space.",9.801,/tHVnZuvVPeg6cVufF4hcNtCJsJK.jpg,The crusade continues...,"Action, Animation, Adventure, Crime, Science Fiction","Warner Premiere, DC Comics, Warner Bros. Animation, DC Entertainment",United States of America,English
42,Black Sabbath: The End of The End,7.7,18,2017-09-20,0,97,FALSE,/kLM6DxvsnQhcyAif2ZpprOLki61.jpg,0,https://www.sky.com/watch/title/programme/386f75df-7a16-404c-bd2b-7edcf48d67c9/black-sabbath-the-end-of-the-end,tt7133352,Black Sabbath: The End of The End,"Chronicles the final tour from Black Sabbath. On February 4th, 2017, Black Sabbath takes the stage in Birmingham, the city where it all began, to play the 81st and final gig of the tour and bring down the curtain on a career that spanned almost half a century.",2.978,/ftvpcFSFGHKPG4s7W48eJUkUUUV.jpg,The final word from the greatest metal band of all time,Music,Eagle Rock Film Productions,United Kingdom,"French, English"
43,Dark Star,5.965,497,1974-04-01,0,83,FALSE,/u6qDqxrCSeo81oZ46Q4M04HItMM.jpg,60000,http://www.theofficialjohncarpenter.com/dark-star/,tt0069945,Dark Star,"A group of scientists are sent on a mission to destroy unstable planets. 20 years into their mission, they have to battle their alien mascot as well as a ""sensitive"" and intelligent bombing device that starts to question the meaning of its existence.",12.239,/nybQ7cBbSlgCikFhpULiKCfJcuQ.jpg,Bombed Out in Space with a Spaced Out Bomb!,"Comedy, Science Fiction","Jack H. Harris Enterprises, University of Southern California",United States of America,English
44,All Things Must Pass,7.194,85,2015-10-16,0,94,FALSE,/8azdxVR1RU2BwTHmsocsGSCx1ho.jpg,0,https://www.facebook.com/towerrecordsdoc,tt3272570,All Things Must Pass,"Established in 1960, Tower Records was once a retail powerhouse with two hundred stores, in thirty countries, on five continents. From humble beginnings in a small-town drugstore, Tower Records eventually became the heart and soul of the music world, and a powerful force in the music industry. In 1999, Tower Records made $1 billion. In 2006, the company filed for bankruptcy. What went wrong? Everyone thinks they know what killed Tower Records: The Internet. But that's not the story. All Things Must Pass is a feature documentary film examining this iconic company's explosive trajectory, tragic demise, and legacy forged by its rebellious founder, Russ Solomon.",5.419,/7oO565fLtDlx2Ief7Jn7YVsY0g.jpg,The rise and fall of Tower Records,Documentary,"Company Name, Gravitas Ventures","Japan, United States of America",English
45,Uncharted,7.002,5066,2022-02-10,407141258,116,FALSE,/fwrqW8Lp5VQuppFrODd4iJ8LySE.jpg,120000000,https://www.unchartedmovie.com,tt1464335,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",79.542,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,Fortune favors the bold.,"Action, Adventure","Columbia Pictures, Atlas Entertainment, PlayStation Productions, Arad Productions",United States of America,"English, Spanish"
